																												
	BW	73,00																		MACRONUTRIENTES TRAINING DAY					MACRONUTRIENTES REST DAY			
																												
																				PROTEÍNA	137,35	Esto supone 1,88 gramos de proteína por kg de peso corporal			133,99	Esto supone 1,84 gramos de proteína por kg de peso corporal		
	MACRONUTRIENTES TRAINING DAY		PROTEÍNA	137,35	Esto supone 1,88 gramos de proteína por kg de peso corporal																							
																				HIDRATOS	350,97	Esto supone 4,81 gramos de hidratos por kg de peso corporal 			330,79	Esto supone 4,53 gramos de hidratos por kg de peso corporal 		
			HIDRATOS	350,97	Esto supone 4,81 gramos de proteína por kg de peso corporal																							
	KCALS TOTALES	2417,45																		GRASAS	51,58	Esto supone 0,71 gramos de grasa por kg de peso corporal 			51,23	Esto supone 0,7 gramos de grasa por kg de peso corporal 		
			GRASAS	51,58	Esto supone 0,71 gramos de proteína por kg de peso corporal																							
																				KCALS TOTALES		2417,446583			KCALS TOTALES		2320,221583	
	MACRONUTRIENTES REST DAY		PROTEÍNA	133,99	Esto supone 1,84 gramos de proteína por kg de peso corporal																							
																												
			HIDRATOS	330,79	Esto supone 4,53 gramos de proteína por kg de peso corporal																							
	KCALS TOTALES	2320,22																										
			GRASAS	51,23	Esto supone 0,7 gramos de proteína por kg de peso corporal																							
																												
	COMIDA 1 (DESAYUNO)																				RECUENTO COMIDA 1							
																												
	MENÚ 1					MENÚ 2					MENÚ 3					MENÚ 4					MENÚ 1		MENÚ 2		MENÚ 3		MENÚ 4	
	TRAINING DAY		REST DAY			TRAINING DAY		REST DAY			TRAINING DAY		REST DAY			TRAINING DAY		REST DAY			TRAIN	REST						
	Pan Blanco de barra	100 gr	Pan Blanco de barra	100 gr		Leche Semi	230 gr	Leche Semi	230 gr		Avena	110 gr	Avena	110 gr						PROTEÍNA	32,1	32,1						
	Huevos (1 Huevo 50 gr)	150 gr	Huevos (1 Huevo 50 gr)	150 gr		Cereales 	75 gr	Cereales 	75 gr		Claras de huevos	100 gr	Claras de huevos	100 gr														
																				KCALS	718,6	718,6						
																												
	COMIDA 4 ( CENA)																				RECUENTO COMIDA 4							
																												
	MENÚ 1					MENÚ 2															MENÚ 1		MENÚ 2					
	TRAINING DAY		REST DAY			TRAINING DAY		REST DAY													TRAIN	REST						
	Patata	530 gr	Patata	400 gr		Pasta	120 gr	Pasta	90 gr											PROTEÍNA	47,0	43,6						
	Ternera Magra	165 gr	Ternera Magra	160 gr		Salmón	80 gr	Salmón	80 gr																			
																				KCALS	625,8	527,8						
