																							
																							
	INSTRUCCIONES A TENER EN CUENTA:																						
	Los programas de entrenamiento ofrecidos son de carácter general y están diseñados únicamente con fines informativos y educativos.																						
																							
																							
	DISTRIBUCIÓN DEL MICROCICLO																						
																							
	DIA 1	DIA 2	DIA 3	DIA 4	DIA 5	DIA 6	DIA 7 	DIA 8	DIA 9	DIA 10													
																							
	PUSH A	PULL A	REST	LEGS A	REST	PUSH B	PULL B	REST	LEGS B	REST													
																							
																							
																							
	Sesión	PUSH A							TRAINING LOG														
	Orden	Ejercicio	Series	Repeticiones	Aproximaciones	Técnica	Descanso mínimo recomendado	Tips	W1	W2	W3	W4	W5	W6	W7	W8	W9	10	11	12	13	14	
	Gym/Fecha/Hora									Torre / miércoles 22 abril/ 12:23	FP / domingo 3 mayo / 18:50												
	A	Crunch abdominal en polea/máquina	3	9-12	3	Serie recta	3'	Foco en la flexión y extensión de la columna.		43,75x11/43,75x9/41,25x9	42,5x9/37,5x11/37,5x9												
	B	Curl de bíceps bayesian	3	1 x 8-10 / 2 x 10-13	3	Serie recta	2' Tras realizar ambos lados	Torso vertical, húmero a unos 30º de extensión.		14,75x9/11,25x12/11,25x11	15x9/12x12/12x11												
	E	Press plano Gym80 acostado	2	1 x 6-8 / 1 x 8-10	4	Serie recta	4'	Caja torácica extendida y depresión escapular.		112,5x6/94,5x9	52,5x7/30x7												
	G	Elevaciones laterales en polea acostado con tobillera	3	2 x 8-11 / 1 x 11-13	0-1	Serie recta	3'	Polea a la altura de la cintura y banco a 30º de inclinación.			12x11/12x9/9x12												
	NOTAS DE LA SESIÓN																						
																							
																							
	Sesión	LEGS A							TRAINING LOG														
	Orden	Ejercicio	Series	Repeticiones	Aproximaciones	Técnica	Descanso mínimo recomendado	Tips	W1	W2	W3	W4	W5	W6	W7	W8	W9	10	11	12	13	14	
	Gym/Fecha/Hora									Torre / miércoles 22 abril/ 12:23	FP / domingo 3 mayo / 18:50												
	F	Sentadilla multipower	3	1 x 11-13 / 1 x 8-10 / 1 x 6-8	5	Realizar con un grado de dolor por debajo del 3/10.	5'	Control de la excéntrica con el máximo ROM posible.		1pps+15x14/1pps+5x15/1pps+5x15	1pps+5x11/1pps+10x8/1pps+15x6												
	G	Hip thrust	2	8-12	2-3	Serie recta	4'	Alineación de la columna con la cadera, no perder este "stack".		80x9/80x8	80x10/80x												
	NOTAS DE LA SESIÓN									Primera serie SQ dolor 1-2/ segunda 0 dolor/ tercera 1													
																							
																							
