																																		
																																		
	N° Mesociclo	1		ENTRENAMIENTO											Pierna						B							Tríceps	Aductor	Femoral	Cuádriceps	Gemelo		
	N° Micro	-																										1	1	4	3	1		
																																		
																																		
	Fecha	20/11/2025		Serie 1			Rango  Reps		Serie 2			Rango  Reps		Serie 3			Rango  Reps		Serie 4			Serie 5												
	VALORACIÓN	-																																
	N°	Ejercicio		KGs	REPS	RIR			KGs	REPS	RIR			KGs	REPS	RIR			KGs	REPS	RIR	KGs	REPS	RIR	Tonelaje			Nivel de energía percibida durante el entrenamiento						¿Ha mejorado el rendimiento respecto a la sesión anterior?
	1	Triceps Pushdown Unilateral	Tríceps	19,50	12		8-10		19,50	8		8-10		15,00	9		8-10								525									
	2	Aductor	Aductor	76,50	6		6-8		67,50	7		8-10		58,50	8		8-10								1399,5									
	3	Leg curl tumbado	Femoral	40,50	6		6-8		31,50	7		8-10													463,5			Comentarios/ Sensaciones						
	4	Leg Extension	Cuádriceps	80,00	6		6-8		65,00	9		8-10		65,00	8		8-10								1585									Motivación / Status Psicológico
	5	Gemelo Sentado	Gemelo	90,00	7		6-8		75,00	10		8-10		75,00	7		8-10								1905									
	6	Hack Pendular	Cuádriceps	25,00	8		6-8		20,00	9		8-10		20,00	7		8-10								520									
	7	SLDL	Femoral	110,00	6		6-8		100,00	8		8-10													1460									Estrés
	8	Hip Thrust	Glúteo	90,00	6		6-8		70,00	11		8-10													1310									
	9	Leg curl Sentado	Femoral	60,00	7		6-8		40,00	11		8-10													860									
																																		Sensaciones respecto al entreno
																																		
	NOTA: Triceps pushdown mixto (pero de pie): https://www.instagram.com/reel/DNyy6wM5C3T/?igsh=MTc1c3RmMHlramltNA== Gemelo de pie en prensa horizontal para evitar carga axial Lateral Lunge con mancuerna en lado derecho y hacia la izquierda: https://youtu.be/GIkG0pqxLKs?si=f4kArc_epfJ2pzel																																	
																																		
																												Nivel de fatiga percibido en la sesión						Gestión del Miedo
																																		
																																		
																																		
																																		
	Fecha	Wed Mar 26 2026 		Serie 1			Rango  Reps		Serie 2			Rango  Reps		Serie 3			Rango  Reps		Serie 4			Serie 5												
	VALORACIÓN	-																																
	N°	Ejercicio		KGs	REPS	RIR			KGs	REPS	RIR			KGs	REPS	RIR			KGs	REPS	RIR	KGs	REPS	RIR	Tonelaje			Nivel de energía percibida durante el entrenamiento						¿Ha mejorado el rendimiento respecto a la sesión anterior?
	1	Triceps Pushdown Unilateral	Tríceps	21,00	10		8-10		21,00	8		8-10		19,50	8		8-10								534									
	2	Aductor	Aductor	76,50	8		6-8		67,50	8		8-10		58,50	8		8-10								1620									
	3	Leg curl tumbado	Femoral	40,50	8		6-8		31,50	11		8-10													670,5			Comentarios/ Sensaciones						
	4	Leg Extension	Cuádriceps	68,50	8		6-8		58,50	8		8-10					8-10								1016									Motivación / Status Psicológico
	5	Gemelo Sentado	Gemelo	94,50	8		6-8		85,50	9		8-10		85,50	6		8-10								2038,5									
	6	Hack Pendular	Cuádriceps	30,00	6		6-8		20,00	9		8-10		20,00	7		8-10								500									
	7	SLDL	Femoral	110,00	6		6-8		100,00	8		8-10													1460									Estrés
	8	Hip Thrust	Glúteo	90,00	6		6-8		70,00	9		8-10													1170									
	9	Leg curl Sentado	Femoral	49,50	9		6-8		49,50	7		8-10													792									
																																		Sensaciones respecto al entreno
																																		
	NOTA: Triceps pushdown mixto (pero de pie): https://www.instagram.com/reel/DNyy6wM5C3T/?igsh=MTc1c3RmMHlramltNA== Gemelo de pie en prensa horizontal para evitar carga axial Lateral Lunge con mancuerna en lado derecho y hacia la izquierda: https://youtu.be/GIkG0pqxLKs?si=f4kArc_epfJ2pzel																																	
																																		
																												Nivel de fatiga percibido en la sesión						Gestión del Miedo
																																		
																																		
																																		
																																		
	Fecha	Wed Mar 26 2026		Serie 1			Rango  Reps		Serie 2			Rango  Reps		Serie 3			Rango  Reps		Serie 4			Serie 5												
	VALORACIÓN	-																																
	N°	Ejercicio		KGs	REPS	RIR			KGs	REPS	RIR			KGs	REPS	RIR			KGs	REPS	RIR	KGs	REPS	RIR	Tonelaje			Nivel de energía percibida durante el entrenamiento						¿Ha mejorado el rendimiento respecto a la sesión anterior?
	1	Triceps Pushdown Unilateral	Tríceps	24,00	8		8-10		21,00	10		8-10		19,50	9		8-10								577,5									
	2	Aductor	Aductor	85,50	8		6-8		67,50	8		8-10		58,50	10		8-10								1809									
	3	Leg curl tumbado	Femoral	49,50	7		6-8		40,50	9		8-10													711			Comentarios/ Sensaciones						
	4	Leg Extension	Cuádriceps	77,50	7		6-8		68,50	7		8-10		58,50	8		8-10								1490									Motivación / Status Psicológico
	5	Gemelo Sentado	Gemelo	105,50	7		6-8		94,50	9		8-10		94,50	7		8-10								2250,5									
	6	Hack Pendular	Cuádriceps	32,50	4		6-8		25,00	9		8-10		25,00	6		8-10								505									
	7	SLDL	Femoral	110,00	7		6-8		100,00	9		8-10													1670									Estrés
	8	Hip Thrust	Glúteo	90,00			6-8		80,00	7		8-10													560									
	9	Leg curl Sentado	Femoral	54,50	9		6-8		54,50	7		8-10													872									
																																		Sensaciones respecto al entreno
																																		
	NOTA: Triceps pushdown mixto (pero de pie): https://www.instagram.com/reel/DNyy6wM5C3T/?igsh=MTc1c3RmMHlramltNA== Gemelo de pie en prensa horizontal para evitar carga axial Lateral Lunge con mancuerna en lado derecho y hacia la izquierda: https://youtu.be/GIkG0pqxLKs?si=f4kArc_epfJ2pzel																																	
																																		
																												Nivel de fatiga percibido en la sesión						Gestión del Miedo
																																		
																																		
																																		
																																		
	Fecha	Thu Apr 16 2026		Serie 1			Rango  Reps		Serie 2			Rango  Reps		Serie 3			Rango  Reps		Serie 4			Serie 5												
	VALORACIÓN	-																																
	N°	Ejercicio		KGs	REPS	RIR			KGs	REPS	RIR			KGs	REPS	RIR			KGs	REPS	RIR	KGs	REPS	RIR	Tonelaje			Nivel de energía percibida durante el entrenamiento						¿Ha mejorado el rendimiento respecto a la sesión anterior?
	1	Triceps Pushdown Unilateral	Tríceps	24,00	9		8-10		24,00	8		8-10		21,00	7		8-10								555									
	2	Aductor	Aductor	93,00	6		6-8		76,50	7		8-10		67,50	7		8-10								1566									
	3	Leg curl tumbado	Femoral	49,5	7	-	6-8		40,50	10		8-10													751,5			Comentarios/ Sensaciones						
	4	Leg Extension	Cuádriceps	86,10	8		6-8		68,50	8		8-10		58,50	8		8-10								1704,8									Motivación / Status Psicológico
	5	Gemelo Sentado	Gemelo	105,50	9		6-8		105,50	7		8-10		94,50	8		8-10								2444									
	6	Hack Pendular	Cuádriceps	32,50	5		6-8		25,00	10		8-10		25,00	8		8-10								612,5									
	7	SLDL	Femoral	120,00	5		6-8		100,00	9		8-10													1500									Estrés
	8	Hip Thrust	Glúteo	100,00	10		6-8		100,00	8		8-10													1800									
	9	Leg curl Sentado	Femoral	54,50	10		6-8		54,50	9		8-10													1035,5									
																																		Sensaciones respecto al entreno
																																		
	NOTA: Triceps pushdown mixto (pero de pie): https://www.instagram.com/reel/DNyy6wM5C3T/?igsh=MTc1c3RmMHlramltNA== Gemelo de pie en prensa horizontal para evitar carga axial Lateral Lunge con mancuerna en lado derecho y hacia la izquierda: https://youtu.be/GIkG0pqxLKs?si=f4kArc_epfJ2pzel																																	
																																		
																												Nivel de fatiga percibido en la sesión						Gestión del Miedo
																																		
																																		
																																		
																																		
	Fecha	Thu Apr 23 2026		Serie 1			Rango  Reps		Serie 2			Rango  Reps		Serie 3			Rango  Reps		Serie 4			Serie 5												
	VALORACIÓN	-																																
	N°	Ejercicio		KGs	REPS	RIR			KGs	REPS	RIR			KGs	REPS	RIR			KGs	REPS	RIR	KGs	REPS	RIR	Tonelaje			Nivel de energía percibida durante el entrenamiento						¿Ha mejorado el rendimiento respecto a la sesión anterior?
	1	Triceps Pushdown Unilateral	Tríceps	27,00	8		8-10		24,00	8		8-10		21,00	8		8-10								576									
	2	Aductor	Aductor	93,00	7		6-8		76,50	8		8-10		67,50	8		8-10								1803									
	3	Leg curl tumbado	Femoral	45,00	6		6-8		31,00	10		8-10													580			Comentarios/ Sensaciones						
	4	Leg Extension	Cuádriceps	95,00	7		6-8		77,10	8		8-10		68,50	7		8-10								1761,3									Motivación / Status Psicológico
	5	Gemelo Sentado	Gemelo	112,50	8		6-8		105,50	8		8-10		94,50	8		8-10								2500									
	6	Hack Pendular	Cuádriceps	32,50	6		6-8		27,50	7		8-10		25,00	8		8-10								587,5									
	7	SLDL	Femoral	120,00	5		6-8		100,00	9		8-10													1500									Estrés
	8	Hip Thrust	Glúteo	105,00			6-8		92,00	8		8-10													736									
	9	Leg curl Sentado	Femoral	77,00	8		6-8		54,50	9		8-10													1106,5									
																																		Sensaciones respecto al entreno
																																		
	NOTA: Triceps pushdown mixto (pero de pie): https://www.instagram.com/reel/DNyy6wM5C3T/?igsh=MTc1c3RmMHlramltNA== Gemelo de pie en prensa horizontal para evitar carga axial Lateral Lunge con mancuerna en lado derecho y hacia la izquierda: https://youtu.be/GIkG0pqxLKs?si=f4kArc_epfJ2pzel																																	
																																		
																												Nivel de fatiga percibido en la sesión						Gestión del Miedo
																																		
																																		
																																		
																																		
	Fecha	Thu May 14 2026		Serie 1			Rango  Reps		Serie 2			Rango  Reps		Serie 3			Rango  Reps		Serie 4			Serie 5												
	VALORACIÓN	-																																
	N°	Ejercicio		KGs	REPS	RIR			KGs	REPS	RIR			KGs	REPS	RIR			KGs	REPS	RIR	KGs	REPS	RIR	Tonelaje			Nivel de energía percibida durante el entrenamiento						¿Ha mejorado el rendimiento respecto a la sesión anterior?
	1	Triceps Pushdown Unilateral	Tríceps				8-10					8-10					8-10								0									
	2	Aductor	Aductor	93,00	8		6-8		76,50	9		8-10		67,50	9		8-10								2040									
	3	Leg curl tumbado	Femoral	10,00	8		6-8		8,00	9		8-10													152			Comentarios/ Sensaciones						
	4	Leg Extension	Cuádriceps	100,00	6		6-8		77,10	9		8-10		68,50	8		8-10								1841,9									Motivación / Status Psicológico
	5	Gemelo Sentado	Gemelo	112,50	9		6-8		105,50	9		8-10		94,50	8		8-10								2718									
	6	Hack Pendular	Cuádriceps	25,00	8		6-8		22,50	7		8-10		20,00	8		8-10								517,5									
	7	SLDL	Femoral	110,00	5		6-8		100,00	8		8-10													1350									Estrés
	8	Hip Thrust	Glúteo	90,00	8		6-8		80,00	8		8-10													1360									
	9	Leg curl Sentado	Femoral	77,00	8		6-8		54,50	10		8-10													1161									
																																		Sensaciones respecto al entreno
																																		
	NOTA: Triceps pushdown mixto (pero de pie): https://www.instagram.com/reel/DNyy6wM5C3T/?igsh=MTc1c3RmMHlramltNA== Gemelo de pie en prensa horizontal para evitar carga axial Lateral Lunge con mancuerna en lado derecho y hacia la izquierda: https://youtu.be/GIkG0pqxLKs?si=f4kArc_epfJ2pzel																																	
																																		
																												Nivel de fatiga percibido en la sesión						Gestión del Miedo
																																		
																																		
																																		
																																		
	Fecha	01/01/2026		Serie 1			Rango  Reps		Serie 2			Rango  Reps		Serie 3			Rango  Reps		Serie 4			Serie 5												
	VALORACIÓN	-																																
	N°	Ejercicio		KGs	REPS	RIR			KGs	REPS	RIR			KGs	REPS	RIR			KGs	REPS	RIR	KGs	REPS	RIR	Tonelaje			Nivel de energía percibida durante el entrenamiento						¿Ha mejorado el rendimiento respecto a la sesión anterior?
	1	Triceps Pushdown Unilateral	Tríceps	11,30	10		8-10		11,30	9		8-10		9,10	8		8-10								287,5									
	2	Aductor	Aductor	93,00	9		6-8		76,50	8		8-10		67,50	8		8-10								1989									
	3	Leg curl tumbado	Femoral	55,00	7		6-8		41,00	9		8-10													754			Comentarios/ Sensaciones						
	4	Leg Extension	Cuádriceps	100,00	7		6-8		77,10	10		8-10		68,50	7		8-10								1950,5									Motivación / Status Psicológico
	5	Gemelo Sentado	Gemelo	112,50	10		6-8		105,50	10		8-10		94,50	8		8-10								2936									
	6	Hack Pendular	Cuádriceps	30,00	6		6-8		25,00	8		8-10		20,00	7		8-10								520									
	7	SLDL	Femoral	100,00	8		6-8		100,00	8		8-10													1600									Estrés
	8	Hip Thrust	Glúteo	90,00	8		6-8		80,00	8		8-10													1360									
	9	Leg curl Sentado	Femoral	77,00	8		6-8		54,50	10		8-10													1161									
																																		Sensaciones respecto al entreno
																																		
	NOTA: Triceps pushdown mixto (pero de pie): https://www.instagram.com/reel/DNyy6wM5C3T/?igsh=MTc1c3RmMHlramltNA== Gemelo de pie en prensa horizontal para evitar carga axial Lateral Lunge con mancuerna en lado derecho y hacia la izquierda: https://youtu.be/GIkG0pqxLKs?si=f4kArc_epfJ2pzel																																	
																																		
																												Nivel de fatiga percibido en la sesión						Gestión del Miedo
																																		
																																		
																																		
																																		
	Fecha	Thu Jul 09 2026 		Serie 1			Rango  Reps		Serie 2			Rango  Reps		Serie 3			Rango  Reps		Serie 4			Serie 5												
	VALORACIÓN	-																																
	N°	Ejercicio		KGs	REPS	RIR			KGs	REPS	RIR			KGs	REPS	RIR			KGs	REPS	RIR	KGs	REPS	RIR	Tonelaje			Nivel de energía percibida durante el entrenamiento						¿Ha mejorado el rendimiento respecto a la sesión anterior?
	1	Triceps Pushdown Unilateral	Tríceps				8-10					8-10					8-10								0									
	2	Aductor	Aductor	93,00	7		6-8		76,50	9		8-10		67,50	8		8-10								1879,5									
	3	Leg curl tumbado	Femoral	48,00	6		6-8		35,00	9		8-10													603			Comentarios/ Sensaciones						
	4	Leg Extension	Cuádriceps	67,50	9		6-8		58,50	8		8-10		49,50	8		8-10								1471,5									Motivación / Status Psicológico
