RUTINA DE ENTRENAMIENTO																																	
																																	
																																	
PULL A - PUSH A - LEGS A - REST - TORSO A - LEGS B - REST																																	
																																	
																																	
1	SERIES TOTALES																																
	PECTORAL		11																														
	HOMBRO LATERAL		8																														
	BICEPS		12																														
					PULL A																			DIARIO DE ENTRAMIENTO SEMANA 1 - 19/1									
																																	
									ABDO	ESPALDA														SESIÓN A REALIZAR PULL A									
	GRUPO MUSCULAR			EJERCICIO			SERIES		RANGO DE REPETICIONES								TIEMPO DE DESCANSO		TIPO DE SERIE		ESPECIFICACIONES			SERIE 1 (CARGA/REPS)	RENDIMIENTO	SERIE 2 (CARGA/REPS)	RENDIMIENTO	SERIE 3 (CARGA/REPS)	RENDIMIENTO	SERIE 4 (CARGA/REPS)	RENDIMIENTO	NOTAS	
									REPETICIONES	RIR	REPETICIONES	RIR	REPETICIONES	RIR	REPETICIONES	RIR																	
	ABDOMEN			Elevaciones de piernas con codos apoyados			2			0		0							Serie Lineal					16*		10						A adaptarse, buscar un buen movimiento	
	DORSAL			Pull over unilateral			1		9-12	0									Top Set		Parciales. 			15x7+2								Buenas sensaciones	
	BICEPS			Curl scott unilat máquina /mancuerna			2		8-10	0	8-10	0							Serie Lineal					12,5x8		10x10							
	ESPALDA ALTA			Remo en T / Remo en máquina Pannata			3		7-9	0	7-9	0	10-12	0					Top Set / Back Off					55x8*		50x9*							
	DORSAL			Jalón neutro polea anchura hombros			2		8-10	0	8-10	0							Serie Lineal					165x9*		165x8*							
	BICEPS			Curl martillo bilat mancuerna			3		7-9	0	7-9	0	7-9	0					Serie Lineal					22,5x7*		20x8		20x7					
																																	
																																	
	GRUPO MUSCULAR			PECTORAL	HOMBRO LATERAL	HOMBRO POSTERIOR	HOMBRO ANTERIOR	BICEPS	TRÍCEPS														TOTAL	HORA DE INICIO		HORA DEL FINAL		PROGRESO					
																																	
	SERIES			0	0	0	0	7															7	10:12		12:14		10					
																																	
																																	
					PUSH A																			DIARIO DE ENTRAMIENTO SEMANA 1 - 19/1									
																																	
									ABDO	ESPALDA														SESIÓN A REALIZAR PUSH A									
	GRUPO MUSCULAR			EJERCICIO			SERIES		RANGO DE REPETICIONES								TIEMPO DE DESCANSO		TIPO DE SERIE		ESPECIFICACIONES			SERIE 1 (CARGA/REPS)	RENDIMIENTO	SERIE 2 (CARGA/REPS)	RENDIMIENTO	SERIE 3 (CARGA/REPS)	RENDIMIENTO	SERIE 4 (CARGA/REPS)	RENDIMIENTO	NOTAS	
									REPETICIONES	RIR	REPETICIONES	RIR	REPETICIONES	RIR	REPETICIONES	RIR																	
	GEMELOS			Sóleo en máquina			3		8-10	0	8-10	0	8-10	0					Serie Lineal		Parciales en todas las series. 			85x10+2		85x8+3		80x8+4					
	PECTORAL			Press inclinado multi 30º			2		5-7	0	8-10	0							Top Set / Back Off					60x6,5		57x7							
	HOMBRO ANTERIOR			Press militar máquina (la que tiene un agarre)			2		8-10	0									Serie Lineal					150x8+1		150x8							
																																	
																																	
	GRUPO MUSCULAR			PECTORAL	HOMBRO LATERAL	HOMBRO POSTERIOR	HOMBRO ANTERIOR	BICEPS	TRÍCEPS														TOTAL	HORA DE INICIO		HORA DEL FINAL		PROGRESO					
																																	
	SERIES			0	0	0	0	25															25	10:12		12:14		10					
																																	
																																	
					LEGS A																			DIARIO DE ENTRAMIENTO SEMANA 1 - 19/1									
																																	
									ABDO	ESPALDA														SESIÓN A REALIZAR LEGS A									
	GRUPO MUSCULAR			EJERCICIO			SERIES		RANGO DE REPETICIONES								TIEMPO DE DESCANSO		TIPO DE SERIE		ESPECIFICACIONES			SERIE 1 (CARGA/REPS)	RENDIMIENTO	SERIE 2 (CARGA/REPS)	RENDIMIENTO	SERIE 3 (CARGA/REPS)	RENDIMIENTO	SERIE 4 (CARGA/REPS)	RENDIMIENTO	NOTAS	
									REPETICIONES	RIR	REPETICIONES	RIR	REPETICIONES	RIR	REPETICIONES	RIR																	
	CUÁDRICEPS			Prensa 45º			2		9-12	0	12-15	0							Top Set / Back Off					195x16									
																			Top Set					40x11								Banco 5.	
																																	
																																	
	GRUPO MUSCULAR			PECTORAL	HOMBRO LATERAL	HOMBRO POSTERIOR	HOMBRO ANTERIOR	BICEPS	TRÍCEPS														TOTAL	HORA DE INICIO		HORA DEL FINAL		PROGRESO					
																																	
	SERIES			0	0	0	0	16															16	10:12		12:14		10					
																																	
																																	
					ALL																			DIARIO DE ENTRAMIENTO SEMANA 1 - 19/1									
																																	
									ABDO	ESPALDA														SESIÓN A REALIZAR ALL									
	GRUPO MUSCULAR			EJERCICIO			SERIES		RANGO DE REPETICIONES								TIEMPO DE DESCANSO		TIPO DE SERIE		ESPECIFICACIONES			SERIE 1 (CARGA/REPS)	RENDIMIENTO	SERIE 2 (CARGA/REPS)	RENDIMIENTO	SERIE 3 (CARGA/REPS)	RENDIMIENTO	SERIE 4 (CARGA/REPS)	RENDIMIENTO	NOTAS	
									REPETICIONES	RIR	REPETICIONES	RIR	REPETICIONES	RIR	REPETICIONES	RIR																	
																																	
																																	
	GRUPO MUSCULAR			PECTORAL	HOMBRO LATERAL	HOMBRO POSTERIOR	HOMBRO ANTERIOR	BICEPS	TRÍCEPS														TOTAL	HORA DE INICIO		HORA DEL FINAL		PROGRESO					
																																	
	SERIES			0	0	0	0	0															0	10:12		12:14		10					
																																	
																																	
